13	13	17	1	12	66	10	20	18	23	14	68	5	13	15	11	19	66	16	
8	22	67	5	12	7	23	68	2	13	13	23	4	22	6	16	20	16	16	
0	6	10	20	18	1	10	10	6	66	6	8	8	22	17	68	18	7	7	
65	6	10	5	12	66	13	11	15	23	14	29	65	7	10	22	12	13	7	
21	7	14	20	14	16	67	13	15	20	10	0	20	12	23	68	20	22	67	
13	3	1	11	19	7	67	1	21	66	7	11	13	13	17	1	65	15	2	
6	12	2	5	13	11	18	17	24	3	14	68	4	16	2	16	65	17	6	
5	66	7	13	0	15	67	18	14	14	22	20	21	23	2	68	0	22	67	
23	7	17	11	4	13	16	68	4	22	67	5	2	1	22	23	0	15	67	
4	22	67	14	20	17	23	11	65	6	22	11	65	6	12	8	14	16	6	
18	66	6	16	65	7	2	22	4	0	22	9	65	17	23	1	21	66	0	
13	11	23	5	65	9	2	23	5	66	4	17	3	7	17	3	19	7	13	
65	12	12	68	18	7	2	16	0	9	10	9	0	22	2	68	18	3	13	
2	22	22	23	65	7	16	16	65	14	12	22	4	15	67	13	17	17	22	
12	66	7	11	13	13	17	68	18	11	23	68	0	15	6	16	13	13	67	
19	7	14	68	8	18	16	17	12	66	7	11	13	13	17	68	18	11	23	
65	3	14	1	21	66	0	11	15	17	6	16	4	22	22	22	18	3	7	
8	18	16	7	8	12	4	68	4	14	10	16	19	66	16	1	5	66	7	
8	3	14	68	15	13	13	17	12	27	67	1	8	16	14	11	5	22	6	
12	18	12	22	65	11	13	18	8	6	22	10	21	66	22	16	65	14	2	
3	13	17	1	65	7	23	68	5	13	15	11	19	7	67	9	0	5	13	
0	3	15	13	16	23	26	5	12	66	6	22	0	22	67	23	4	6	67	
5	11	2	9	65	20	12	8	20	18	23	17	0	66	2	16	65	20	6	
19	13	6	11	18	66	6	16	65	3	0	7	20	17	2	9	65	7	23	
65	8	22	23	21	13	67	0	20	13	67	0	14	14	12	22	4	17	67	
4	22	67	1	0	66	17	1	3	23	14	23	21	7	23	68	2	14	10	
21	3	67	15	0	17	7	68	6	23	1	1	19	5	17	1	15	66	13	
